STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN
GHCND:USW00064758,ITHACA 13 E NY US,20120816,0,253,95
GHCND:USW00064758,ITHACA 13 E NY US,20120817,26,237,126
GHCND:USW00064758,ITHACA 13 E NY US,20120818,0,210,83
GHCND:USW00064758,ITHACA 13 E NY US,20120819,0,234,54
GHCND:USW00064758,ITHACA 13 E NY US,20120820,0,221,99
GHCND:USW00064758,ITHACA 13 E NY US,20120821,0,229,71
GHCND:USW00064758,ITHACA 13 E NY US,20120822,0,258,85
GHCND:USW00064758,ITHACA 13 E NY US,20120823,0,265,95
GHCND:USW00064758,ITHACA 13 E NY US,20120824,0,280,100
GHCND:USW00064758,ITHACA 13 E NY US,20120825,0,279,132
GHCND:USW00064758,ITHACA 13 E NY US,20120826,0,281,144
GHCND:USW00064758,ITHACA 13 E NY US,20120827,144,277,163
GHCND:USW00064758,ITHACA 13 E NY US,20120828,148,241,118
GHCND:USW00064758,ITHACA 13 E NY US,20120829,0,205,84
GHCND:USW00064758,ITHACA 13 E NY US,20120830,0,256,47
GHCND:USW00064758,ITHACA 13 E NY US,20120831,0,305,102
GHCND:USW00064758,ITHACA 13 E NY US,20120901,0,266,107
GHCND:USW00064758,ITHACA 13 E NY US,20120902,0,270,90
GHCND:USW00064758,ITHACA 13 E NY US,20120903,22,218,136
GHCND:USW00064758,ITHACA 13 E NY US,20120904,92,252,185
GHCND:USW00064758,ITHACA 13 E NY US,20120905,0,245,145
GHCND:USW00064758,ITHACA 13 E NY US,20120906,9,279,140
GHCND:USW00064758,ITHACA 13 E NY US,20120907,0,262,148
GHCND:USW00064758,ITHACA 13 E NY US,20120908,45,233,103
GHCND:USW00064758,ITHACA 13 E NY US,20120909,0,195,64
GHCND:USW00064758,ITHACA 13 E NY US,20120910,0,169,40
GHCND:USW00064758,ITHACA 13 E NY US,20120911,0,214,17
GHCND:USW00064758,ITHACA 13 E NY US,20120912,0,248,65
GHCND:USW00064758,ITHACA 13 E NY US,20120913,0,265,88
GHCND:USW00064758,ITHACA 13 E NY US,20120914,100,251,116
GHCND:USW00064758,ITHACA 13 E NY US,20120915,0,172,74
GHCND:USW00064758,ITHACA 13 E NY US,20120916,0,181,51
GHCND:USW00064758,ITHACA 13 E NY US,20120917,0,222,64
GHCND:USW00064758,ITHACA 13 E NY US,20120918,242,208,98
GHCND:USW00064758,ITHACA 13 E NY US,20120919,0,144,31
GHCND:USW00064758,ITHACA 13 E NY US,20120920,0,188,28
GHCND:USW00064758,ITHACA 13 E NY US,20120921,2,220,110
GHCND:USW00064758,ITHACA 13 E NY US,20120922,26,200,84
GHCND:USW00064758,ITHACA 13 E NY US,20120923,0,143,25
GHCND:USW00064758,ITHACA 13 E NY US,20120924,0,147,26
GHCND:USW00064758,ITHACA 13 E NY US,20120925,14,195,32
GHCND:USW00064758,ITHACA 13 E NY US,20120926,41,176,115
GHCND:USW00064758,ITHACA 13 E NY US,20120927,6,171,56
GHCND:USW00064758,ITHACA 13 E NY US,20120928,40,137,96
GHCND:USW00064758,ITHACA 13 E NY US,20120929,0,156,59
GHCND:USW00064758,ITHACA 13 E NY US,20120930,34,125,38
GHCND:USW00064758,ITHACA 13 E NY US,20121001,0,162,92
GHCND:USW00064758,ITHACA 13 E NY US,20121002,27,169,83
GHCND:USW00064758,ITHACA 13 E NY US,20121003,2,226,149
GHCND:USW00064758,ITHACA 13 E NY US,20121004,0,206,97
GHCND:USW00064758,ITHACA 13 E NY US,20121005,14,232,76
GHCND:USW00064758,ITHACA 13 E NY US,20121006,45,160,33
GHCND:USW00064758,ITHACA 13 E NY US,20121007,16,104,27
GHCND:USW00064758,ITHACA 13 E NY US,20121008,0,105,-2
GHCND:USW00064758,ITHACA 13 E NY US,20121009,0,147,-1
GHCND:USW00064758,ITHACA 13 E NY US,20121010,6,138,56
GHCND:USW00064758,ITHACA 13 E NY US,20121011,0,115,16
GHCND:USW00064758,ITHACA 13 E NY US,20121012,-9999,97,-43
GHCND:USW00064758,ITHACA 13 E NY US,20121013,18,91,-55
GHCND:USW00064758,ITHACA 13 E NY US,20121014,53,200,62
GHCND:USW00064758,ITHACA 13 E NY US,20121015,0,202,78
GHCND:USW00064758,ITHACA 13 E NY US,20121016,0,97,-11
GHCND:USW00064758,ITHACA 13 E NY US,20121017,0,168,-14
GHCND:USW00064758,ITHACA 13 E NY US,20121018,0,164,55
GHCND:USW00064758,ITHACA 13 E NY US,20121019,245,164,87
GHCND:USW00064758,ITHACA 13 E NY US,20121020,11,129,28
GHCND:USW00064758,ITHACA 13 E NY US,20121021,0,144,55
GHCND:USW00064758,ITHACA 13 E NY US,20121022,0,159,8
GHCND:USW00064758,ITHACA 13 E NY US,20121023,198,117,26
GHCND:USW00064758,ITHACA 13 E NY US,20121024,5,154,107
GHCND:USW00064758,ITHACA 13 E NY US,20121025,0,184,131
GHCND:USW00064758,ITHACA 13 E NY US,20121026,0,174,122
GHCND:USW00064758,ITHACA 13 E NY US,20121027,0,157,86
GHCND:USW00064758,ITHACA 13 E NY US,20121028,35,88,64
GHCND:USW00064758,ITHACA 13 E NY US,20121029,154,148,65
GHCND:USW00064758,ITHACA 13 E NY US,20121030,134,136,41
GHCND:USW00064758,ITHACA 13 E NY US,20121031,5,50,36
GHCND:USW00064758,ITHACA 13 E NY US,20121101,61,74,40
GHCND:USW00064758,ITHACA 13 E NY US,20121102,21,47,13
GHCND:USW00064758,ITHACA 13 E NY US,20121103,10,33,5
GHCND:USW00064758,ITHACA 13 E NY US,20121104,0,25,-4
GHCND:USW00064758,ITHACA 13 E NY US,20121105,2,11,-9
GHCND:USW00064758,ITHACA 13 E NY US,20121106,0,41,-65
GHCND:USW00064758,ITHACA 13 E NY US,20121107,0,25,-70
GHCND:USW00064758,ITHACA 13 E NY US,20121108,0,36,-26
GHCND:USW00064758,ITHACA 13 E NY US,20121109,0,65,-36
GHCND:USW00064758,ITHACA 13 E NY US,20121110,0,96,18
GHCND:USW00064758,ITHACA 13 E NY US,20121111,0,199,69
GHCND:USW00064758,ITHACA 13 E NY US,20121112,114,175,54
GHCND:USW00064758,ITHACA 13 E NY US,20121113,84,54,1
GHCND:USW00064758,ITHACA 13 E NY US,20121114,0,51,-42
GHCND:USW00064758,ITHACA 13 E NY US,20121115,0,57,-59
GHCND:USW00064758,ITHACA 13 E NY US,20121116,0,60,-64
GHCND:USW00064758,ITHACA 13 E NY US,20121117,0,78,-64
GHCND:USW00064758,ITHACA 13 E NY US,20121118,0,79,-75
GHCND:USW00064758,ITHACA 13 E NY US,20121119,0,92,-45
GHCND:USW00064758,ITHACA 13 E NY US,20121120,0,95,-44
GHCND:USW00064758,ITHACA 13 E NY US,20121121,0,109,-34
GHCND:USW00064758,ITHACA 13 E NY US,20121122,0,135,-32
GHCND:USW00064758,ITHACA 13 E NY US,20121123,0,113,-5
