Date,ID,Latitude,Longitude,y_proj,x_proj,SM1,P1,SM2,P2,SM3,P3,SM4,P4,SM5,P5,SM6,P6,SM7,P7,Average,SD
11/2/12,HF007,42.43717678,-76.24692181,4699069.481,397442.1785,30,0.98,34,1,31,0.99,NA,NA,NA,NA,NA,NA,NA,NA,31.666667,2.081665999
11/9/12,HF007,42.43717678,-76.24692181,4699069.481,397442.1785,28,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA
11/16/12,HF007,42.43717678,-76.24692181,4699069.481,397442.1785,24,0.94,21,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,2.121320344
11/30/12,HF007,42.43717678,-76.24692181,4699069.481,397442.1785,22,0.93,21,0.92,20,0.91,NA,NA,NA,NA,NA,NA,NA,NA,21,1
4/19/13,HF007,42.43717678,-76.24692181,4699069.48,397442.18,19,0.91,22,0.93,19,0.91,NA,NA,NA,NA,NA,NA,NA,NA,20,1.732050808
4/19/13,HF007,42.43717678,-76.24692181,4699069.48,397442.18,51,1.09,49,1.08,50,1.08,NA,NA,NA,NA,NA,NA,NA,NA,50,1
5/16/13,HF007,42.43717678,-76.24692181,4699069.48,397442.18,15,0.88,17,0.9,14,0.87,NA,NA,NA,NA,NA,NA,NA,NA,15.33333333,1.527525232
6/27/13,HF007,42.43717678,-76.24692181,4699069.481,397442.1785,14,0.87,11,0.87,10,0.86,NA,NA,NA,NA,NA,NA,NA,NA,11.66666667,2.081665999
7/18/13,HF007,42.43717678,-76.24692181,4699069.481,397442.1785,14,0.87,12,0.86,12,0.86,NA,NA,NA,NA,NA,NA,NA,NA,12.66666667,1.154700538
8/15/13,HF007,42.43717678,-76.24692181,4699069.481,397442.1785,25,0.45,29,0.97,21,0.92,22,0.93,NA,NA,NA,NA,NA,NA,24.25,3.593976442
10/26/13,HF007,42.43717678,-76.24692181,4699069.481,397442.1785,32,0.99,31,0.99,32,0.99,NA,NA,NA,NA,NA,NA,NA,NA,31.66666667,0.577350269
11/2/12,HF008,42.43726973,-76.24712759,4699080.051,397425.4047,34,1,32,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,8.485281374
11/9/12,HF008,42.43726973,-76.24712759,4699080.051,397425.4047,34,1,29,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,3.535533906
11/16/12,HF008,42.43726973,-76.24712759,4699080.051,397425.4047,26,0.95,31,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,3.535533906
11/30/12,HF008,42.43726973,-76.24712759,4699080.051,397425.4047,22,0.93,23,0.93,23,0.93,NA,NA,NA,NA,NA,NA,NA,NA,22.666667,0.577350269
4/19/13,HF008,42.43726973,-76.24712759,4699080.05,397425.4,25,0.95,23,0.94,24,0.94,NA,NA,NA,NA,NA,NA,NA,NA,24,1
4/19/13,HF008,42.43726973,-76.24712759,4699080.05,397425.4,30,0.98,33,1,32,0.99,NA,NA,NA,NA,NA,NA,NA,NA,31.66666667,1.527525232
